164	Homer	188844	40750	100	0.622674699170286
165	Visigoths	188844	40849	99	0.6164479521785831
166	Scythia	188844	40948	99	0.6164479521785831
167	Nile	188844	41047	99	0.6164479521785831
168	Claudius	188844	41145	98	0.6102212051868803
169	Marcus	188844	41243	98	0.6102212051868803
170	Italians	188844	41341	98	0.6102212051868803
171	Chinese	188844	41438	97	0.6039944581951774
172	Tertullian	188844	41535	97	0.6039944581951774
173	Asiatic	188844	41631	96	0.5977677112034745
174	Plin	188844	41727	96	0.5977677112034745
175	Panegyr	188844	41823	96	0.5977677112034745
176	Ali	188844	41919	96	0.5977677112034745
177	Antonines	188844	42014	95	0.5915409642117717
178	Philip	188844	42109	95	0.5915409642117717
179	Chrysostom	188844	42204	95	0.5915409642117717
180	Antoninus	188844	42299	95	0.5915409642117717
181	Tyber	188844	42394	95	0.5915409642117717
182	Egyptian	188844	42489	95	0.5915409642117717
183	Medina	188844	42583	94	0.5853142172200688
184	Hungary	188844	42677	94	0.5853142172200688
185	Licinius	188844	42771	94	0.5853142172200688
186	Caracalla	188844	42864	93	0.5790874702283659
187	Guignes	188844	42957	93	0.5790874702283659
188	Peter	188844	43050	93	0.5790874702283659
189	Mahometan	188844	43142	92	0.572860723236663
190	Henry	188844	43234	92	0.572860723236663
191	Anastasius	188844	43325	91	0.5666339762449603
192	Robert	188844	43416	91	0.5666339762449603
193	Goth	188844	43507	91	0.5666339762449603
194	Scythian	188844	43598	91	0.5666339762449603
195	Tours	188844	43689	91	0.5666339762449603
196	Palæologus	188844	43780	91	0.5666339762449603
197	Nero	188844	43870	90	0.5604072292532574
198	Ottoman	188844	43960	90	0.5604072292532574
199	Mosheim	188844	44049	89	0.5541804822615545
200	Armenian	188844	44137	88	0.5479537352698517
201	Gallic	188844	44225	88	0.5479537352698517
202	Petrarch	188844	44313	88	0.5479537352698517
203	Gallienus	188844	44400	87	0.5417269882781488
204	Gratian	188844	44487	87	0.5417269882781488
205	Narses	188844	44574	87	0.5417269882781488
206	Cassius	188844	44661	87	0.5417269882781488
207	Strabo	188844	44747	86	0.5355002412864459
208	Euseb	188844	44833	86	0.5355002412864459
209	Venetians	188844	44918	85	0.529273494294743
210	Vandal	188844	45002	84	0.5230467473030402
211	Aurelius	188844	45086	84	0.5230467473030402
212	Caesars	188844	45170	84	0.5230467473030402
213	Commodus	188844	45253	83	0.5168200003113373
214	Empereurs	188844	45336	83	0.5168200003113373
215	Niebuhr	188844	45418	82	0.5105932533196345
216	Sidonius	188844	45500	82	0.5105932533196345
217	Martin	188844	45581	81	0.5043665063279317
218	Tiberius	188844	45661	80	0.4981397593362288
219	Theodosian	188844	45741	80	0.4981397593362288
220	Pocock	188844	45821	80	0.4981397593362288
221	Bagdad	188844	45901	80	0.4981397593362288
222	Cantacuzene	188844	45981	80	0.4981397593362288
223	Chalcedon	188844	46060	79	0.4919130123445259
224	Nicetas	188844	46138	78	0.48568626535282305
225	Maxentius	188844	46215	77	0.4794595183611202
226	Saxons	188844	46292	77	0.4794595183611202
227	Augustin	188844	46369	77	0.4794595183611202
228	Abulpharagius	188844	46446	77	0.4794595183611202
229	Boniface	188844	46522	76	0.4732327713694173
230	Omar	188844	46598	76	0.4732327713694173
231	Frederic	188844	46674	76	0.4732327713694173
232	Livy	188844	46749	75	0.4670060243777145
233	Geschichte	188844	46824	75	0.4670060243777145
234	Tartars	188844	46899	75	0.4670060243777145
235	Theophilus	188844	46974	75	0.4670060243777145
236	Arcadius	188844	47048	74	0.4607792773860116
237	St_Sophia	188844	47122	74	0.4607792773860116
238	Pannonia	188844	47195	73	0.45455253039430876
239	Jovian	188844	47268	73	0.45455253039430876
240	Bulgarians	188844	47341	73	0.45455253039430876
241	Tartar	188844	47414	73	0.45455253039430876
242	Tyre	188844	47487	73	0.45455253039430876
243	Adriatic	188844	47560	73	0.45455253039430876
244	Cyprian	188844	47633	73	0.45455253039430876
245	Rufinus	188844	47705	72	0.44832578340260587
246	Illyricum	188844	47777	72	0.44832578340260587
247	Zingis	188844	47849	72	0.44832578340260587
248	Jesus	188844	47921	72	0.44832578340260587
249	Genseric	188844	47992	71	0.44209903641090303
250	Ephesus	188844	48063	71	0.44209903641090303
251	British	188844	48134	71	0.44209903641090303
252	Cedrenus	188844	48205	71	0.44209903641090303
253	Isaac	188844	48276	71	0.44209903641090303
254	Ambrose	188844	48347	71	0.44209903641090303
255	Gallus	188844	48417	70	0.4358722894192002
256	Jupiter	188844	48487	70	0.4358722894192002
257	Trebizond	188844	48557	70	0.4358722894192002
258	Burgundians	188844	48626	69	0.4296455424274973
259	Maurice	188844	48695	69	0.4296455424274973
260	Cappadocia	188844	48764	69	0.4296455424274973
261	Bibliotheque	188844	48833	69	0.4296455424274973
262	George	188844	48902	69	0.4296455424274973
